افریقہ	África
جاپان	Japão
جنوبی امریکہ	América do Sul
ناروے	Noruega
انگلستان	Inglaterra
سکاٹ لینڈ	Escócia
ویلز	País de Gales
شمالی آئر لینڈ	Irlanda do Norte
جمہوریہ آئرستان	República da Irlanda
مجارستان	Hungria
ہسپانیہ	Espanha
ریاستہائے متحدہ امریکہ	Estados Unidos
بلجئیم	Bélgica
لکسمبرگ	Luxemburgo
کائنات	Universo
زمین	Terra
حیات (مقالہ ثانی)	Vida
موت (مقالہ ثانی)	Morte
انسان	Homo sapiens
خوشی	Felicidade
جارج واشنگٹن	George Washington
جیک باور	Jack Bauer
ڈگلس ایڈمس	Douglas Adams
ٹم برنرز لی	Tim Berners-Lee
وحش کا عدد	Número da Besta
سٹینلے کوبریک	Stanley Kubrick
ویکی ڈیٹا	Wikidata
فن لینڈ	Finlândia
سویڈن	Suécia
ڈنمارک	Dinamarca
پولینڈ	Polónia
لتھووینیا	Lituânia
اطالیہ	Itália
سویٹزرلینڈ	Suíça
آسٹریا	Áustria
یونان	Grécia
ترکی	Turquia
بیئر	Cerveja
پرتگال	Portugal
یورپ	Europa
ایشیاء	Ásia
شمالی امریکہ	América do Norte
انٹارکٹکا	Antártida
ویکیپیڈیا:ویکیپیڈیا	Wikipédia
نیدرلینڈز	Países Baixos
پی ایچ پی	PHP
نیویارک شہر	Nova Iorque
واشنگٹن ڈی سی	Washington, D.C.
سان فرانسسکو	São Francisco (Califórnia)
برلن	Berlim
لاس اینجلس	Los Angeles
بوئنگ	Boeing
کمپیوٹر	Computador
برن	Berna
جنیوا	Genebra
زیورخ	Zurique
انٹرنیٹ	Internet
بارک اوبامہ	Barack Obama
یوراگوئے	Uruguai
بازیل	Basileia
طابع	Impressora
میڈیاویکی	MediaWiki
لندن	Londres
قاہرہ	Cairo
سردرد	Cefaleia
اسکندریہ	Alexandria
سیب	Maçã
پیرس	Paris
ابراہام لنکن	Abraham Lincoln
اینڈروئیڈ	Android
گوگل	Google
بحر اوقیانوس	Oceano Atlântico
بحر الکاہل	Oceano Pacífico
کیلی فورنیا	Califórnia
بوسٹن, میساچوسٹس	Boston
پیر	Segunda-feira
جنوری	Janeiro
فروری	Fevereiro
مارچ	Março
مریخ	Marte (planeta)
کینیا	Quénia
ایتھوپیا	Etiópia
بادشاہ	Monarca
گھانا	Gana
اپریل	Abril
مئی	Maio
جون	Junho
جولائی	Julho
اگست	Agosto
ستمبر	Setembro
اکتوبر	Outubro
نومبر	Novembro
دسمبر	Dezembro
منگل	Terça-feira
بدھ	Quarta-feira
جمعرات	Quinta-feira
جمعہ	Sexta-feira
ہفتہ	Sábado
اتوار	Domingo
فیلہ (شطرنج)	Bispo (xadrez)
پیادہ (شطرنج)	Peão (xadrez)
گھوڑا (شطرنج)	Cavalo (xadrez)
بادشاہ (شطرنج)	Rei (xadrez)
ملکہ (شطرنج)	Dama (xadrez)
ببر (شیر)	Leão
فرانس	França
اسپرانتو	Esperanto
کتا	Canis lupus familiaris
برطانیہ	Reino Unido
بلی	Gato
چین	República Popular da China
فرانسیسی زبان	Língua francesa
ویکی لغت	Wikcionário
مچھلی	Peixe
ایتھنول	Etanol
الکحلی مشروب	Bebida alcoólica
برازیل	Brasil
الکحل	Álcool
روس	Rússia
حوتیہ	Cetáceos
ریشہ	Fibra
یارکشائر	Yorkshire (Inglaterra)
مربع (ہندسہ)	Quadrado
بحیرہ	Mar
بحیرہ اسود	Mar Negro
پائی	Pi
ویکی	Wiki
ٹورانٹو	Toronto
الاباما	Alabama
ساؤ پاؤلو	São Paulo (cidade)
ساؤ پاؤلو (ریاست)	São Paulo
کیوبیک	Quebec
مؤسسہ ویکیمیڈیا	Wikimedia
جیمی ویلز	Jimmy Wales
جرمنی	Alemanha
بیلاروس	Bielorrússia
جرمن زبان	Língua alemã
آئس لینڈ	Islândia
خدا	Deus
استونیا	Estónia
ڈیوڈ کیمرن	David Cameron
زحل	Saturno (planeta)
حلقہ ہائے زحل	Anéis de Saturno
